figure	relative_path	ftp_status	remote_path	remote_size_bytes	reuse_source_relative_path	figshare_url	notes
figure1	reproducibility/figure1/data/level5_beta_trt_xpr_n142901x12328.gctx	uploaded	data/reproducibility/figure1/data/level5_beta_trt_xpr_n142901x12328.gctx	6516812529		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure1	reproducibility/figure1/data/siginfo_beta.txt	uploaded	data/reproducibility/figure1/data/siginfo_beta.txt	465242319		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure1	reproducibility/figure1/data/LINC gene annotations.csv	uploaded	data/reproducibility/figure1/data/LINC gene annotations.csv	510437		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure1	reproducibility/figure1/data/250120 AKT1-related gene sets in MsigDB.csv	uploaded	data/reproducibility/figure1/data/250120 AKT1-related gene sets in MsigDB.csv	1349		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure1	reproducibility/figure1/data/250603 AKT_related gene sets_MSigDB.csv	uploaded	data/reproducibility/figure1/data/250603 AKT_related gene sets_MSigDB.csv	2268		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure1	reproducibility/figure1/data/250604 multiple_TARGETS-related gene sets in MsigDB.csv	uploaded	data/reproducibility/figure1/data/250604 multiple_TARGETS-related gene sets in MsigDB.csv	13504		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure2	reproducibility/figure2/data/Figure2a AKT gene set collection.rds	uploaded	data/reproducibility/figure2/data/Figure2a AKT gene set collection.rds	17886		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure2	reproducibility/figure2/data/250617 Figure 2a_all gene sets_annotated_FINAL_github.csv	uploaded	data/reproducibility/figure2/data/250617 Figure 2a_all gene sets_annotated_FINAL_github.csv	5361		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure2	reproducibility/figure2/data/Human.GRCh38.p13.annot.tsv.gz	uploaded	data/reproducibility/figure2/data/Human.GRCh38.p13.annot.tsv.gz	4417321		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure2	reproducibility/figure2/data/GSE111005_raw_counts_GRCh38.p13_NCBI.tsv.gz	uploaded	data/reproducibility/figure2/data/GSE111005_raw_counts_GRCh38.p13_NCBI.tsv.gz	558528		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
