figure	relative_path	figshare_url	notes
figure1	reproducibility/figure1/data/level5_beta_trt_xpr_n142901x12328.gctx	TODO_FIGSHARE_FILE_URL	LINCS level 5 expression matrix; large input file.
figure1	reproducibility/figure1/data/siginfo_beta.txt	TODO_FIGSHARE_FILE_URL	LINCS signature metadata.
figure1	reproducibility/figure1/data/LINC gene annotations.csv	TODO_FIGSHARE_FILE_URL	Gene annotation table.
figure1	reproducibility/figure1/data/250120 AKT1-related gene sets in MsigDB.csv	TODO_FIGSHARE_FILE_URL	Figure 1 input gene sets.
figure1	reproducibility/figure1/data/250603 AKT_related gene sets_MSigDB.csv	TODO_FIGSHARE_FILE_URL	Figure 1 input gene sets.
figure1	reproducibility/figure1/data/250604 multiple_TARGETS-related gene sets in MsigDB.csv	TODO_FIGSHARE_FILE_URL	Figure 1 input gene sets.
figure2	reproducibility/figure2/data/Figure2a AKT gene set collection.rds	TODO_FIGSHARE_FILE_URL	Figure 2 gene set collection.
figure2	reproducibility/figure2/data/250617 Figure 2a_all gene sets_annotated_FINAL_github.csv	TODO_FIGSHARE_FILE_URL	Figure 2 gene-set annotations.
figure2	reproducibility/figure2/data/Human.GRCh38.p13.annot.tsv.gz	TODO_FIGSHARE_FILE_URL	NCBI GRCh38 gene annotation file used for Entrez-to-symbol mapping.
figure2	reproducibility/figure2/data/GSE111005_raw_counts_GRCh38.p13_NCBI.tsv.gz	TODO_FIGSHARE_FILE_URL	GEO raw count matrix for Figure 2.
figure2	reproducibility/figure2/data/GSE133116_raw_counts_GRCh38.p13_NCBI.tsv.gz	TODO_FIGSHARE_FILE_URL	GEO raw count matrix for Figure 2.
figure2	reproducibility/figure2/data/GSE149626_raw_counts_GRCh38.p13_NCBI.tsv.gz	TODO_FIGSHARE_FILE_URL	GEO raw count matrix for Figure 2.
figure2	reproducibility/figure2/data/Fig 2b_GSE145128 ExpressionSet_Annotated_UniqueGeneNames.rds	TODO_FIGSHARE_FILE_URL	Figure 2 expression set.
figure2	reproducibility/figure2/data/a172 AUCell_null_model.rds	TODO_FIGSHARE_FILE_URL	AUCell null model.
figure2	reproducibility/figure2/data/u87 AUCell_null_model.rds	TODO_FIGSHARE_FILE_URL	AUCell null model.
figure2	reproducibility/figure2/data/241105 combined_seurat_objects_subsetted and processed_vechicle&zstk474.rds	TODO_FIGSHARE_FILE_URL	Single-cell object used for Figure 2.
figure3	reproducibility/figure3/data/subsets/	TODO_FIGSHARE_FILE_URL	Context-specific subset RDS files.
figure3	reproducibility/figure3/data/level5_beta_trt_xpr_n142901x12328.gctx	TODO_FIGSHARE_FILE_URL	LINCS level 5 expression matrix used to regenerate context-specific subsets.
figure3	reproducibility/figure3/data/siginfo_beta.txt	TODO_FIGSHARE_FILE_URL	LINCS signature metadata.
figure3	reproducibility/figure3/data/LINC gene annotations.csv	TODO_FIGSHARE_FILE_URL	Gene annotation table.
figure3	reproducibility/figure3/data/250717_original_annotations_Dressler_role.csv	TODO_FIGSHARE_FILE_URL	Cancer-driver annotation table.
figure3	reproducibility/figure3/data/250717_original_annotations_Dressler_status.csv	TODO_FIGSHARE_FILE_URL	Cancer-driver annotation table.
figure3	reproducibility/figure3/data/250717_original_annotations_Kinnersley_role.csv	TODO_FIGSHARE_FILE_URL	Cancer-driver annotation table.
figure3	reproducibility/figure3/data/Human.GRCh38.p13.annot.tsv.gz	TODO_FIGSHARE_FILE_URL	NCBI GRCh38 gene annotation file used for Entrez-to-symbol mapping.
figure3	reproducibility/figure3/data/Collectri_genesets_forfGSEA.csv	TODO_FIGSHARE_FILE_URL	Collectri gene sets.
figure3	reproducibility/figure3/data/240918 LINC_gene sets_CRISPR_CONSENSUS_SigComLINCS_bottom_150.csv	TODO_FIGSHARE_FILE_URL	VMPA/COMPASS gene sets.
figure3	reproducibility/figure3/data/240918 LINC_gene sets_CRISPR_CONSENSUS_SigComLINCS_bottom_200.csv	TODO_FIGSHARE_FILE_URL	VMPA/COMPASS gene sets.
figure3	reproducibility/figure3/data/240918 LINC_gene sets_CRISPR_CONSENSUS_SigComLINCS_bottom_250.csv	TODO_FIGSHARE_FILE_URL	VMPA/COMPASS gene sets.
figure3	reproducibility/figure3/data/BENCHMARKING PARAMETERS ALL CONTEXTS_Collectri.csv	TODO_FIGSHARE_FILE_URL	Benchmarking parameter table.
figure3	reproducibility/figure3/data/240924 Benchmarking_R_list_25NULL MODELS FOR EACH PARAM.rds	TODO_FIGSHARE_FILE_URL	Null model object for Figure 3 benchmarking.
figure3	reproducibility/figure3/data/240925_Benchmarking_R_list_25NULL_MODELS_FOR_EACH_PARAM_2.rds	TODO_FIGSHARE_FILE_URL	Null model object for Figure 3 benchmarking.
figure3	reproducibility/figure3/data/240925_Benchmarking_R_list_25NULL_MODELS_FOR_EACH_PARAM_3.rds	TODO_FIGSHARE_FILE_URL	Null model object for Figure 3 benchmarking.
figure3	reproducibility/figure3/data/240925_Benchmarking_R_list_25NULL_MODELS_FOR_EACH_PARAM_4.rds	TODO_FIGSHARE_FILE_URL	Null model object for Figure 3 benchmarking.
figure3	reproducibility/figure3/data/250710 Benchmarking_fgsea results_ALL_CONTEXTS.csv	TODO_FIGSHARE_FILE_URL	Precomputed FGSEA source data for Figure 3d.
figure3	reproducibility/figure3/data/250715_fGSEA_100NULLmodels_SUMMARY.csv	TODO_FIGSHARE_FILE_URL	Precomputed null summary for Figure 3d.
figure3	reproducibility/figure3/data/250721 Benchmarking_COMPASS_across_contexts_fgsea.csv	TODO_FIGSHARE_FILE_URL	Precomputed FGSEA source data for Figure 3e.
figure3	reproducibility/figure3/data/250725_FIG3E_COMPARISON_fGSEA_100NULLmodels_SUMMARY.csv	TODO_FIGSHARE_FILE_URL	Precomputed null summary for Figure 3e.
figure3	reproducibility/figure3/data/annotation_protein function.csv	TODO_FIGSHARE_FILE_URL	Protein function annotations for Figure 3c.
figure3	reproducibility/figure3/data/annotation_protein localization.csv	TODO_FIGSHARE_FILE_URL	Protein localization annotations for Figure 3c.
figure4	reproducibility/figure4/data/drugs_U251MG_withLINCsignatures.cleaned.rds	TODO_FIGSHARE_FILE_URL	Drug signature data.
figure4	reproducibility/figure4/data/drugs_U251MG_withLINCsignatures.gct	TODO_FIGSHARE_FILE_URL	Raw drug signature GCT file.
figure4	reproducibility/figure4/data/metadata drugs_U251MG_withLINCsignatures.txt	TODO_FIGSHARE_FILE_URL	Drug signature metadata.
figure4	reproducibility/figure4/data/COMPASS_drug_target interactions.csv	TODO_FIGSHARE_FILE_URL	Drug-target interaction table.
figure4	reproducibility/figure4/data/LINC gene annotations.csv	TODO_FIGSHARE_FILE_URL	Gene annotation table.
figure4	reproducibility/figure4/data/annotation_protein function_GBM63.csv	TODO_FIGSHARE_FILE_URL	Protein function annotations for Figure 4a.
figure4	reproducibility/figure4/data/annotation_protein localization_GBM63.csv	TODO_FIGSHARE_FILE_URL	Protein localization annotations for Figure 4a.
figure4	reproducibility/figure4/data/250212 BENCHMARKING_GBM63_DESeq2MEAN_COMPASS&SigCOM_FILTERED_FOR_ROC_zscores.csv	TODO_FIGSHARE_FILE_URL	Source data for Figure 4c-d PR curves.
figure5	reproducibility/figure5/data/250428 GSE174554_seurat_malignant.harmony_CLEAN_LAYERS JOINT_IDHwt_all.rds	TODO_FIGSHARE_FILE_URL	Single-cell object used for Figure 5.
figure5	reproducibility/figure5/data/250626 GSE174554_pseudobulked transcriptomes_SCALED and feature selected.rds	TODO_FIGSHARE_FILE_URL	Pseudobulk transcriptomes.
figure5	reproducibility/figure5/data/Neftel_TableS2_MES&NPCjoined2.csv	TODO_FIGSHARE_FILE_URL	Neftel metaprogram annotations.
figure5	reproducibility/figure5/data/250106 LINC_gene sets_CRISPR_U251MG_bottom 150_ALL_c1-3_tas02_ANNOTATED.csv	TODO_FIGSHARE_FILE_URL	VMPA/COMPASS gene sets for Figure 5.
figure5	reproducibility/figure5/data/final_gene_expr_df.csv	TODO_FIGSHARE_FILE_URL	Gene expression matrix.
figure5	reproducibility/figure5/data/prot_mat_filtered.csv	TODO_FIGSHARE_FILE_URL	Filtered protein activity matrix.
figure6	reproducibility/figure6/data/ExpressionSet_GSE145128.rds	TODO_FIGSHARE_FILE_URL	ExpressionSet used for Figure 6.
figure6	reproducibility/figure6/data/250315_MTT_data_BN91.csv	TODO_FIGSHARE_FILE_URL	Dose-response input data.
figure6	reproducibility/figure6/data/250618_MTT_data_BN118.csv	TODO_FIGSHARE_FILE_URL	Dose-response input data.
figure6	reproducibility/figure6/data/250714_MTT_data_BN91.csv	TODO_FIGSHARE_FILE_URL	Dose-response input data.
figure6	reproducibility/figure6/data/250714_MTT_data_BN118.csv	TODO_FIGSHARE_FILE_URL	Dose-response input data.
figure6	reproducibility/figure6/data/250721_MTT_data_BN118.csv	TODO_FIGSHARE_FILE_URL	Dose-response input data.
figure6	reproducibility/figure6/data/Source data_Fig6b_string_annotations.txt	TODO_FIGSHARE_FILE_URL	STRING network annotation table.
figure6	reproducibility/figure6/data/Source data_Fig6b_string_interactions.csv	TODO_FIGSHARE_FILE_URL	STRING network interaction table.
figure6	reproducibility/figure6/data/Source data_Fig6b_string_output.pdf	TODO_FIGSHARE_FILE_URL	STRING network source output.
